,Unnamed: 0.1,Name,Birthday,Place_of_birth,Weight,Height,Reach,Stance,Total Fights,Wins,Wins by KO,Losses,Draws,No Contests,Sex,Height_cm,Reach_cm,Country,Nationality,Sign,Weight_class
34,34,Nicola Adams,1982-10-26,"Leeds, West Yorkshire, England",flyweight,5 ft 4.5 in (164 cm)[1],,,6,5.0,3.0,0.0,1.0,,F,164.0,,England,British,Scorpio,flyweight
35,35,Gabriela Celeste Alaniz,1996-06-28,"Buenos Aires, Argentina",flyweight,,,,15,14.0,6.0,1.0,,,F,,,Argentina,Argentine,Cancer,flyweight
36,36,Daniela Romina Bermúdez,1989-07-07,"Villa Gobernador Gálvez, Santa Fe Province, Argentina",flyweight/flyweight/flyweight/bantamweight/bantamweight/featherweight,5 ft 5 in (165 cm),67 in (170 cm),Orthodox,36,29.0,10.0,4.0,3.0,,F,165.0,170.0,Argentina,Argentine,Cancer,flyweight
37,37,Tomoko Okuda,1995-11-28,"Kakamigahara, Gifu, Japan",flyweight/bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,14,7.0,1.0,5.0,2.0,,F,166.0,,Japan,Japanese,Sagittarius,flyweight
38,38,Mizuki Hiruta,1996-04-12,"Okayama, Japan",flyweight/flyweight,5 ft 4 in (163 cm),,Southpaw,6,6.0,2.0,0.0,,,F,163.0,,Japan,Japanese,Aries,flyweight
39,39,Sabrina Maribel Pérez,1986-11-14,"Isidro Casanova, Argentina[1]",bantamweight/featherweight,5 ft 2 in (157 cm),,Orthodox,21,18.0,2.0,2.0,1.0,,F,157.0,,Argentina,Argentine,Scorpio,bantamweight
40,40,Ana Julaton,1983-11-28,,bantamweight/flyweight,5 ft 5 in (165 cm),,,21,14.0,2.0,4.0,3.0,,F,165.0,,,,Sagittarius,flyweight
41,41,Marcela Acuña,1976-10-16,"Formosa, Argentina",bantamweight/featherweight/welterweight,5 ft 4+1⁄2 in (164 cm),,Orthodox,62,51.0,20.0,9.0,2.0,,F,164.0,,Argentina,Argentine,Libra,bantamweight
42,42,Jeannine Garside,1978-04-14,"Duncan, British Columbia, Canada",bantamweight/featherweight/featherweight/lightweight,5 ft 5+1⁄2 in (166 cm),,Southpaw,14,10.0,4.0,3.0,,,F,166.0,,Canada,Canadian,Aries,bantamweight
43,43,Alejandra Oliveras,1978-03-20,"El Carmen, Jujuy, Argentina",bantamweight/featherweight/lightweight/welterweight,5 ft 1 in (155 cm),,Orthodox,38,33.0,16.0,3.0,2.0,0.0,F,155.0,,Argentina,Argentine,Pisces,bantamweight
44,44,Cindy Serrano,1982-05-08,Puerto Rico,featherweight/featherweight/lightweight/welterweight,5 ft 6 in (168 cm),,Orthodox,36,27.0,10.0,6.0,3.0,,F,168.0,,Puerto Rico,American(Puerto Rican),Taurus,featherweight
45,45,Ewa Brodnicka,1984-06-07,"Nowy Dwór Mazowiecki, Poland",featherweight/lightweight/welterweight,173 cm (5 ft 8 in),179 cm (70 in),Orthodox,21,20.0,2.0,1.0,,,F,173.0,177.8,Poland,Polish,Gemini,featherweight
46,46,Erin McGowan,1981-02-09,"Perth, Western Australia",lightweight,,,Orthodox,19,17.0,9.0,2.0,,,F,,,Australia,Australian,Aquarius,lightweight
47,47,Rose Volante,1982-08-12,"São Paulo, Brazil",lightweight,5 ft 5.5 in (166 cm),67.5 in (171 cm),Orthodox,16,15.0,8.0,1.0,,,F,166.0,171.0,Brazil,Brazilian,Leo,lightweight
48,48,Christina Linardatou,1988-03-04,"Santiago de los Caballeros, Dominican Republic",featherweight/lightweight/welterweight,1.63 m (5 ft 4 in)[1],,Orthodox,16,14.0,6.0,3.0,,,F,163.0,,Dominican Republic,Dominican,Pisces,featherweight
49,49,Hanna Gabriels,1983-01-14,"Alajuela, Costa Rica",,5 ft 6 in (168 cm),68 in (173 cm),Orthodox,24,21.0,12.0,2.0,1.0,,F,168.0,173.0,Costa Rica,Costa Rican,Capricorn,
50,50,Sandy Ryan,1993-09-16,"Derby, England",welterweight/welterweight,5 ft 9+1⁄2 in (177 cm),,Orthodox,8,6.0,2.0,1.0,1.0,,F,177.0,,England,British,Virgo,welterweight
51,51,Natasha Jonas,1984-06-18,"Liverpool, England",featherweight/lightweight/middleweight,5 ft 8 in (173 cm) [1],,Southpaw,18,15.0,9.0,2.0,1.0,,F,173.0,,England,British,Gemini,featherweight
52,52,Femke Hermans,1990-02-05,"Dendermonde, Belgium",superwelterweight/middleweight/middleweight,5 ft 8 in (173 cm),,Orthodox,21,17.0,7.0,4.0,,,F,173.0,,Belgium,Belgian,Aquarius,middleweight
53,53,Geovana Peres,1977-02-08,,,168 cm (5 ft 6 in),169 cm (66.5 in),,9,8.0,1.0,1.0,0.0,,F,168.0,168.9,,,Aquarius,
54,54,Chirawadee Srisuk,1983-08-28,"Phitsanulok province, Thailand",minimumweight,5 ft 5 in (165 cm),,Orthodox,10,6.0,1.0,3.0,1.0,,F,165.0,,Thailand,Thai,Virgo,minimumweight
55,55,Momo Koseki,1982-07-31,"Tokyo, Japan",minimumweight/flyweight,5 ft 4 in (163 cm),64 in (163 cm),Southpaw,27,24.0,9.0,2.0,1.0,,F,163.0,163.0,Japan,Japanese,Leo,minimumweight
56,56,Fabiana Bytyqi,1995-12-30,"Ústí nad Labem, Czech Republic",minimumweight/minimumweight,1.64 m (5 ft 5 in),,Orthodox,23,20.0,5.0,1.0,2.0,,F,164.0,,Czech Republic,Czech,Capricorn,minimumweight
57,57,Tina Rupprecht,1992-08-23,"Augsburg, Germany",minimumweight/flyweight,1.53 m (5 ft 0 in),,Orthodox,15,13.0,3.0,1.0,1.0,,F,153.0,,Germany,German,Virgo,minimumweight
58,58,Anabel Ortiz,1986-07-05,"Tepic, Mexico",flyweight/flyweight,5 ft 0 in (152 cm),62+1⁄2 in (159 cm),Orthodox,39,33.0,4.0,6.0,,,F,152.0,159.0,Mexico,Mexican,Cancer,flyweight
59,59,Siriporn Thaweesuk,1983-04-26,"Lopburi province, Thailand",flyweight/strawweight/flyweight,5 ft 2 in (157 cm),,Orthodox,48,43.0,25.0,5.0,,,F,157.0,,Thailand,Thai,Taurus,flyweight
60,60,Yesenia Gómez,1996-01-21,"Cancún, Quintana Roo, Mexico",flyweight/flyweight/flyweight,,,Orthodox,31,20.0,6.0,6.0,4.0,1.0,F,,,Mexico,Mexican,Aquarius,flyweight
61,61,Mariana Juárez,1980-01-29,"Santa Urusula, Tlaxcala, Mexico[2]",flyweight/flyweight/bantamweight,5 ft 5+1⁄2 in (166 cm),,Orthodox,72,55.0,19.0,13.0,4.0,,F,166.0,,Mexico,Mexican,Aquarius,flyweight
62,62,Renáta Szebelédi,1993-08-02,"Budapest, Hungary",flyweight/flyweight/bantamweight/bantamweight/featherweight,162 cm (5 ft 4 in),,Southpaw,26,16.0,10.0,10.0,,,F,162.0,,Hungary,Hungarian,Leo,flyweight
63,63,Jessica Chávez,1988-07-15,"Mexico City, Mexico",flyweight/flyweight/flyweight,5 ft 2 in (157 cm),62+1⁄2 in (159 cm),Orthodox,38,30.0,4.0,5.0,3.0,,F,157.0,159.0,Mexico,Mexican,Cancer,flyweight
64,64,Ana María Torres,1980-01-25,"Nezahualcóyotl, México, Mexico[3]",flyweight/bantamweight,5 ft 4 in (163 cm)[1],,Orthodox,34,28.0,16.0,3.0,3.0,,F,163.0,,Mexico,Mexican,Aquarius,flyweight
65,65,Zulina Muñoz,1987-08-10,"Chicoloapan de Juárez, Mexico",flyweight/bantamweight,5 ft 3 in (160 cm),62 in (157 cm),Orthodox,60,53.0,30.0,5.0,2.0,,F,160.0,157.0,Mexico,Mexican,Leo,flyweight
66,66,Guadalupe Martínez Guzmán,1992-04-05,"Tlalnepantla, State of Mexico, Mexico",flyweight/flyweight/flyweight,,,Orthodox,30,20.0,6.0,10.0,,,F,,,Mexico,Mexican,Aries,flyweight
67,67,Usanakorn Thawilsuhannawang,1987-12-31,"Nakhon Ratchasima province, Thailand",bantamweight/flyweight,5 ft 7 in (170 cm),69 in (175 cm),Southpaw,23,19.0,18.0,4.0,,,F,170.0,175.0,Thailand,Thai,Capricorn,flyweight
68,68,Yazmín Rivas,,,flyweight/flyweight/bantamweight/bantamweight,5 ft 4 in (163 cm),65 in (165 cm),Orthodox,55,40.0,11.0,10.0,1.0,4.0,F,163.0,165.0,,,,flyweight
69,69,Yulihan Luna,1994-02-21,"Gómez Palacio, Durango, Mexico",bantamweight/bantamweight,5 ft 0 in (152 cm),71 in (180 cm),Orthodox,25,21.0,3.0,3.0,1.0,,F,152.0,180.0,Mexico,Mexican,Pisces,bantamweight
70,70,Alicia Ashley,1967-08-23,Jamaica,bantamweight,5 ft 4.5 in (163.8 cm)[1],,Southpaw,37,24.0,4.0,12.0,1.0,,F,164.0,,Jamaica,Jamaican,Virgo,bantamweight
71,71,Fatuma Zarika,1985-03-13,"Nairobi, Kenya",bantamweight/bantamweight/featherweight/featherweight,163 cm (5 ft 4 in),168 cm (66 in),Orthodox,49,34.0,18.0,13.0,2.0,,F,163.0,167.6,Kenya,Kenyan,Pisces,bantamweight
72,72,Sharon Anyos,1970-10-13,,featherweight,164 cm (5 ft 5 in),169 cm (66.5 in),,17,14.0,4.0,3.0,0.0,,F,164.0,168.9,,,Libra,featherweight
73,73,Melissa Hernández,1980-02-04,"Mayaguez, Puerto Rico",bantamweight/featherweight/featherweight/lightweight/welterweight,5 ft 2 in (157 cm),,Orthodox,34,23.0,7.0,8.0,3.0,,F,157.0,,Puerto Rico,American(Puerto Rican),Aquarius,bantamweight
74,74,Diana Prazak,1979-07-20,"Melbourne, Australia",featherweight/lightweight/welterweight,5 ft 5 in (165 cm),,Orthodox,18,14.0,9.0,4.0,,,F,165.0,,Australia,Australian,Cancer,featherweight
75,75,Jessica Rakoczy,1977-04-14,,lightweight/bantamweight/bantamweight/flyweight/strawweight,5 ft 8 in (173 cm),68.0 in (173 cm)[1],Orthodox,37,33.0,11.0,3.0,0.0,1.0,F,173.0,173.0,,,Aries,flyweight
76,76,Delfine Persoon,1985-01-14,"Hooglede, West Flanders, Belgium",featherweight/lightweight,175 cm (5 ft 9 in),,Orthodox,52,48.0,19.0,3.0,,1.0,F,175.0,,Belgium,Belgian,Capricorn,featherweight
77,77,Mary Jo Sanders,1974-01-13,"Detroit, Michigan, U.S.",welterweight/welterweight/middleweight/middleweight,5 ft 7 in (170 cm),,Orthodox,27,25.0,8.0,1.0,1.0,,F,170.0,,USA,American,Capricorn,welterweight
78,78,Anne Sophie Mathis,1977-07-23,"Nancy, France",welterweight/welterweight/middleweight,5 ft 11 in (180 cm),,Orthodox,32,27.0,23.0,4.0,1.0,1.0,F,180.0,,France,French,Leo,welterweight
79,79,Holly Holm,1981-10-17,,bantamweight/featherweight/welterweight/welterweight/middleweight,5 ft 8 in (173 cm),70 in (178 cm)[1],,38,33.0,9.0,2.0,3.0,0.0,F,173.0,178.0,,,Libra,bantamweight
80,80,Wang Ya Nan,1984-10-29,China,middleweight,1.75 m (5 ft 9 in)[1],,Orthodox,8,8.0,3.0,0.0,0.0,0.0,F,175.0,,China,Chinese,Scorpio,middleweight
81,81,Tori Nelson,1976-08-26,"South Hill, Virginia, U.S.",welterweight/middleweight/middleweight/middleweight,5 ft 6 in (168 cm),64 in (163 cm),Orthodox,25,20.0,4.0,2.0,3.0,,F,168.0,163.0,USA,American,Virgo,welterweight
82,82,Nikki Adler,1987-04-02,"Augsburg, West Germany",middleweight,173 cm (5 ft 8 in),,Orthodox,18,16.0,9.0,2.0,,,F,173.0,,Germany,German,Aries,middleweight
83,83,Franchon Crews Dezurn,1987-06-13,"Virginia Beach, Virginia, U.S.",middleweight,5 ft 8 in (173 cm)[1],72 in (183 cm),Orthodox,12,9.0,2.0,2.0,,1.0,F,173.0,183.0,USA,American,Gemini,middleweight
84,84,Martha Salazar,1970-02-02,,heavyweight,5 ft 9 in (1.75 m),70.0 in (178 cm),,18,13.0,3.0,5.0,0.0,0.0,F,175.0,178.0,,,Aquarius,heavyweight
85,85,Vaia Zaganas,1975-05-22,"Burnaby, British Columbia",minimumweight/[1],5 ft 0.5 in (154 cm)[1],61 in (155 cm)[1],Orthodox,19,16.0,6.0,3.0,0.0,0.0,F,154.0,155.0,Canada,Canadian,Gemini,minimumweight
86,86,Yésica Bopp,1984-04-11,"Wilde, Buenos Aires, Argentina",flyweight/flyweight,5 ft 0 in (152 cm),,Orthodox,40,37.0,17.0,3.0,,,F,152.0,,Argentina,Argentine,Aries,flyweight
87,87,Linda Laura Lecca,1988-07-13,"Trujillo, Peru",flyweight/bantamweight,,,Orthodox,22,13.0,3.0,4.0,2.0,3.0,F,,,Peru,Peruvian,Cancer,flyweight
88,88,Maribel Ramírez,1986-06-28,,flyweight/flyweight/flyweight/bantamweight,,,,24,13.0,3.0,9.0,2.0,,F,,,,,Cancer,flyweight
89,89,Mayerlin Rivas,1987-12-05,,,165 cm (5 ft 5 in)[1],,,22,16.0,10.0,4.0,2.0,0.0,F,165.0,,,,Sagittarius,
90,90,Shannon Courtenay,1993-07-03,"Abbots Langley, Hertfordshire, England[3]",bantamweight/bantamweight,,,Orthodox,9,7.0,3.0,2.0,,,F,,,England,British,Cancer,bantamweight
91,91,Nina Hughes,,,bantamweight/bantamweight,4 ft 11 in (150 cm)[1],,Orthodox,6,6.0,2.0,,,,F,150.0,,,,,bantamweight
92,92,Chanttall Martínez,1990-12-28,"David, Chiriquí, Panama",bantamweight/featherweight,,,Orthodox,27,19.0,8.0,8.0,,,F,,,Panama,Panamanian,Capricorn,bantamweight
93,93,Erika Cruz,1990-05-03,"Mexico City, Mexico",featherweight,168 cm (5 ft 6 in),163 cm (64 in),Southpaw,19,17.0,3.0,2.0,,,F,168.0,162.6,Mexico,Mexican,Taurus,featherweight
94,94,Ogleidis Suárez,,,bantamweight/featherweight/featherweight/welterweight/middleweight,,,Orthodox,36,30.0,14.0,5.0,1.0,,F,,,,,,bantamweight
95,95,Kina Malpartida,1980-03-25,"Lima, Peru",featherweight,165 cm (5 ft 5 in)[1],,,17,14.0,4.0,3.0,0.0,0.0,F,165.0,,Peru,Peruvian,Aries,featherweight
96,96,Layla McCarter,1979-04-19,,featherweight/featherweight/lightweight/welterweight/welterweight/middleweight,5 ft 4 in (163 cm),65+1⁄2 in (166 cm),,62,44.0,11.0,13.0,5.0,0.0,F,163.0,166.0,,,Aries,featherweight
97,97,Cecilia Comunales,1988-12-04,"Paysandú, Uruguay",lightweight,5 ft 9 in (1.75 m),,Orthodox,15,14.0,9.0,1.0,0.0,,F,175.0,,Uruguay,Uruguayan,Sagittarius,lightweight
98,98,Anahí Ester Sánchez,1991-07-21,"Pergamino, Argentina",featherweight/featherweight/lightweight/welterweight,,,Orthodox,27,21.0,13.0,6.0,,,F,,,Argentina,Argentine,Cancer,featherweight
99,99,Myriam Lamare,1975-01-01,,featherweight,5 ft 6 in (1.68 m),70.0 in (178 cm),,26,22.0,10.0,4.0,0.0,0.0,F,168.0,178.0,,,Capricorn,featherweight
100,100,Teresa Perozzi,1973-12-31,"New Hampshire, United States[2]",middleweight/middleweight,5 ft 6+1⁄2 in (169 cm),68 in (173 cm),Southpaw,17,9.0,1.0,5.0,3.0,,F,169.0,173.0,USA,American,Capricorn,middleweight
101,101,Elin Cederroos,1985-01-16,Sweden,middleweight,5 ft 10+1⁄2 in (179 cm),70 in (178 cm),,10,8.0,4.0,2.0,,,F,179.0,178.0,Sweden,Swedish,Capricorn,middleweight
102,102,Saemi Hanagata,1984-10-28,"Yokohama, Kanagawa Prefecture, Japan",minimumweight/flyweight/flyweight,,,Orthodox,28,16.0,7.0,7.0,5.0,,F,,,Japan,Japanese,Scorpio,minimumweight
103,103,Ayaka Miyao,1983-08-29,"Chikuma, Nagano, Japan[1]",minimumweight/flyweight/flyweight,5 ft 0+1⁄2 in (154 cm)[1],59+1⁄2 in (151 cm)[1],Orthodox,36,25.0,6.0,10.0,2.0,,F,154.0,151.0,Japan,Japanese,Virgo,minimumweight
104,104,Katia Gutiérrez,1989-04-29,"Los Mochis, Sinaloa, Mexico",flyweight/flyweight,,,Orthodox,31,23.0,6.0,8.0,,,F,,,Mexico,Mexican,Taurus,flyweight
105,105,Joana Pastrana,1990-09-29,"Madrid, Spain",flyweight,1.61 m (5 ft 3 in)[1],,,20,17.0,5.0,3.0,,,F,161.0,,Spain,Spanish,Libra,flyweight
106,106,Irma Sánchez,1987-12-06,"Guadalajara, Jalisco, Mexico",flyweight/flyweight/flyweight,5 ft 2 in (157 cm),65 in (165 cm),Orthodox,39,30.0,8.0,8.0,1.0,,F,157.0,165.0,Mexico,Mexican,Sagittarius,flyweight
107,107,Guadalupe Bautista,1988-04-19,"Mexico City, Mexico",flyweight/flyweight,,,,30,17.0,3.0,11.0,2.0,,F,,,Mexico,Mexican,Aries,flyweight
108,108,Evelyn Nazarena Bermúdez,1996-04-01,"Villa Gobernador Gálvez, Santa Fe, Argentina",flyweight/flyweight,,,Orthodox,20,18.0,6.0,1.0,1.0,,F,,,Argentina,Argentine,Aries,flyweight
109,109,Ava Knight,1988-08-15,,flyweight/flyweight/flyweight/bantamweight,5 ft 4 in (163 cm),70.0 in (178 cm),,26,19.0,5.0,2.0,5.0,0.0,F,163.0,178.0,,,Leo,flyweight
110,110,Leonela Paola Yúdica,1988-09-18,"Santa Lucía, San Juan, Argentina",flyweight,,,,20,16.0,0.0,0.0,3.0,1.0,F,,,Argentina,Argentine,Virgo,flyweight
111,111,Débora Dionicius,1988-03-19,"Villaguay, Argentina[1]",flyweight/bantamweight/featherweight,5 ft 4 in (163 cm)[1],,Orthodox,39,35.0,6.0,4.0,,,F,163.0,,Argentina,Argentine,Pisces,flyweight
112,112,Jorgelina Guanini,1992-05-31,"Necochea, Buenos Aires, Argentina",flyweight/bantamweight/bantamweight,5 ft 2+1⁄2 in (159 cm),,Orthodox,13,9.0,1.0,2.0,2.0,,F,159.0,,Argentina,Argentine,Gemini,flyweight
113,113,Micaela Luján,,,flyweight,,,Orthodox,11,9.0,3.0,1.0,1.0,,F,,,,,,flyweight
114,114,Carolina Rodríguez,1986-05-24,,,,,,,,,,,,F,,,,,Gemini,
115,115,María Cecilia Román,1983-01-21,"Villa Mallea, San Juan, Argentina",bantamweight,,,Orthodox,27,17.0,0.0,8.0,1.0,1.0,F,,,Argentina,Argentine,Aquarius,bantamweight
116,116,Ebanie Bridges,1986-09-22,"Sydney, Australia",bantamweight/bantamweight,155 cm (5 ft 1 in),,,11,9.0,4.0,2.0,,,F,155.0,,Australia,Australian,Virgo,bantamweight
117,117,Ada Vélez,1969-09-15,Puerto Rico,bantamweight,,,Southpaw,28,20.0,6.0,5.0,3.0,0.0,F,,,Puerto Rico,American(Puerto Rican),Virgo,bantamweight
118,118,Ellie Scotney,1998-03-16,"Lewisham, London, England",featherweight,1.64 m (5 ft 5 in),,Orthodox,8,8.0,0.0,0.0,,,F,164.0,,England,British,Pisces,featherweight
119,119,Stacey Reile,,,featherweight,5 ft 4 in (1.63 m),,Orthodox,14,10.0,1.0,4.0,,,F,163.0,,,,,featherweight
120,120,Jennifer Han,1983-06-25,"El Paso, Texas, U.S.",featherweight/featherweight/lightweight,5 ft 6 in (168 cm),66 in (168 cm),Orthodox,26,18.0,1.0,5.0,1.0,3.0,F,168.0,168.0,USA,American,Cancer,featherweight
121,121,Sarah Mahfoud,1989-09-29,"Tórshavn, Faroe Islands[2]",featherweight,,,Orthodox,12,11.0,3.0,1.0,,,F,,,Faroe Islands,Faroese,Libra,featherweight
122,122,Maiva Hamadouche,1989-11-04,"Albi, France",,1.62 m (5 ft 4 in),1.63 m (64 in),,24,22.0,18.0,2.0,,,F,162.0,162.6,France,French,Scorpio,
123,123,Daniella Smith,1972-07-30,,,,,Orthodox,19,13.0,1.0,6.0,0.0,0.0,F,,,,,Leo,
